article_header,author,category,content,date_parsed,date_raw,sub_category,subcription,title,url
La cuarta cita en lo que va de 2025 se realizó en la Casa de Nariño. El presidente citó a los más fieles de sus filas para determinar rutas que deriven en la reelección del progresismo. Mover la consulta de octubre es una de las medidas.,Redacción Política,politica,"El presidente Gustavo Petro reunió por cuarta vez en lo que va de este año al sector más fiel del Pacto Histórico. Este domingo, horas antes de salir rumbo a la Asamblea General de la ONU en Estados Unidos, actuó una vez más desde la Casa de Nariño como operador político, algo que ya había ocurrido en meses pasados, para intervenir y marcar el rumbo del progresismo de cara a las elecciones de 2026.
Se trató de un encuentro clave, porque faltan menos de 100 horas para que se cierre el plazo para las inscripciones a las consultas internas e...",23-09-2025,22-09-2025,Elecciones 2026,Suscriptores,La izquierda debatió en Palacio su futuro con un Petro electoralmente activo,https://www.elespectador.com/politica/elecciones-colombia-2026/gustavo-petro-reune-a-pacto-historico-para-debatir-futuro-del-partido-unico-consulta-interna-noticias-hoy/
"La decisión se tomará entre dos figuras impulsadas por los alcaldes Carlos Fernando Galán (Bogotá) y Federico Gutiérrez (Medellín), quienes hacen parte del grupo de capitales que aporta el 75 % del presupuesto de la organización. La puja será determinante para la relación de las ciudades con el “Gobierno del cambio” en su último año.",María José Barrios Figueroa,politica,"Siete meses de interinidad en la jefatura de Asocapitales finalizarán este martes, en una elección dividida entre lo político y lo técnico. Los 34 asientos de la organización elegirán el reemplazo de Luz María Zapata en la dirección, en una pelea por el poder que ya estaría dividiendo a los dirigentes de las tres capitales que aportan el 75 % del presupuesto a la institución.
Como en la salida de Zapata, que tuvo detrás movimientos que ella misma denunció como violencia de género, acoso laboral y persecución política, desde varios despachos...",23-09-2025,23-09-2025,Política,Suscriptores,La pelea por la jefatura de Asocapitales se definirá tras siete meses de interinidad,https://www.elespectador.com/politica/asocapitales-pelea-por-jefatura-se-definiria-con-candidatos-de-carlos-fernando-galan-y-fico-gutierrez-noticias-hoy/
"El presidente Gustavo Petro se pronunció luego de conocerse la carta que envió la fiscal Lucy Laborde, quien lleva el caso contra su hijo Nicolás por lavado de activos y enriquecimiento ilícito. ",Redacción Política,politica,"El presidente Gustavo Petro reaccionó a la carta que envió la fiscal Lucy Laborde, quien adelanta la investigación contra su hijo Nicolás Petro por los delitos de lavado de activos y enriquecimiento ilícito y alertó intromisiones en el caso.
Lea: La pelea por la jefatura de Asocapitales se definirá tras siete meses de interinidad.",23-09-2025,23-09-2025,Política,,"“Dije que no hablaría sobre el caso de mi hijo, pero no puedo callar”: Petro ",https://www.elespectador.com/politica/petro-habla-sobre-caso-nicolas-petro-y-cuestiona-a-fiscal-lucy-laborde-por-carta-enviada-a-fiscalia-luz-adriana-camargo/
"La Comisión Séptima del Senado retoma este martes el debate sobre la reforma a la salud. Al escenario ya conocido entre la ponencia oficialista y la de archivo se suma una tercera propuesta alternativa, impulsada por tres senadoras, que plantea un modelo mixto con ajustes en la financiación, la gestión del riesgo y el pago de deudas del sistema.",Redacción Salud,politica,"Este martes la Comisión Séptima del Senado retoma el debate sobre la reforma a la salud con dos ponencias ya radicadas: una positiva, respaldada por el Gobierno y el Pacto Histórico y que recoge la esencia del proyecto impulsado por el presidente Gustavo Petro —y que el Congreso ya rechazó en el pasado—, y otra negativa, presentada por la oposición del Centro Democrático. A primera vista, el escenario parece repetirse respecto al año pasado, cuando la mayoría de esta comisión hundió la iniciativa. Sin embargo, hay un elemento nuevo: la posibilidad de una tercera ponencia, una propuesta alternativa de reforma que podría abrir un nuevo espacio distinto de discusión.",23-09-2025,07:31 a. m.,Salud,,Lo que propone la ponencia alternativa de la reforma a la salud. ¿Qué rol tendrán las EPS?,https://www.elespectador.com/salud/reforma-a-la-salud-en-el-senado-tercera-ponencia-propone-que-el-estado-administre-y-eps-gestionen-la-atencion/
"¿Cómo se sienten las víctimas con las dos sentencias de la JEP?, y ¿cuáles son las sanciones a exfarc y exmilitares? De este tema hablamos en #LaMesaRedonda.",Redacción Política,politica,"Audio generado con IA de Google
0:00
/
0:00
La Jurisdicción Especial para la Paz (JEP) emitió dos sentencias históricas contra los miembros del último Secretariado de la guerrilla de las FARC por cometer crímenes de guerra y de lesa humanidad y en contra de exmilitares por ejecuciones extrajudiciales, los llamados falsos positivos.
Aunque se trata de un hecho que marca un precedente en la historia del país, tras la firma del Acuerdo de Paz hay preguntas e inconformidad de parte de las víctimas y otros sectores, así como expectativa por la capacidad del Estado para darle cumplimiento a las sanciones.
En La Mesa Redonda hablamos de estas dos sentencias, lo que dictan sus sanciones contra los exfarc y los exmilitares y cuál ha sido el impacto de las medidas, especialmente para las víctimas, que ya apelaron uno de los casos.
👁‍🗨 Conozca cómo votan los senadores y representantes a la Cámara en ‘Congreso a la mano’.
👉 Lea más sobre el Congreso, el gobierno Petro y otras noticias del mundo político.
✉️ Si tiene interés en los temas políticos o información que considere oportuno compartirnos, por favor, escríbanos a cualquiera de estos correos: hvalero@elespectador.com; aosorio@elespectador.com; dortega@elespectador.com; dcristancho@elespectador.com; mbarrios@elespectador.com ; lbotero@elespectador.com o lperalta@elespectador.com.",23-09-2025,07:55 a. m.,Política,,Lo que dejan las condenas contra FARC y militares por falsos positivos: La Mesa Redonda ,https://www.elespectador.com/politica/jep-sentencias-y-sanciones-a-farc-y-militares-por-falsos-positivos-esto-dicen-las-victimas-la-mesa-redonda/
El presidente Gustavo Petro se ha presentado como “un presidente descertificado” y llamó a la creación de un ejército para intervenir en Gaza. ,Redacción Política,politica,"Audio generado con IA de Google
0:00
/
0:00
El presidente Gustavo Petro dará este martes su último discurso como jefe de Estado en la Asamblea General de las Naciones Unidas, organización que criticó y en la que intervino un día antes para llamar a parar el genocidio contra Palestina y cuestionar al mandatario de los Estados Unidos, Donald Trump, por la descertificación a Colombia en la lucha contra las drogas.
Lea: “Dije que no hablaría sobre el caso de mi hijo, pero no puedo callar”: Petro.
Para este martes está agendado el discurso de Colombia en la Asamblea General y se prevé que el presidente Petro refuerce el pronunciamiento que hizo 24 horas antes en el Diálogo de Alto Nivel sobre la Financiación Climática, espacio en el que poco se refirió a propuestas para combatir el cambio climático, pues se concentró en hacer críticas sobre la administración Trump.
“Soy un presidente descertificado por un gobierno extranjero, con qué derecho un gobierno puede descertificar a otro que fue elegido democráticamente. ¿Eso es democracia o el comienzo de la barbarie? [...] Tengo que decirle a Trump que no entra en el espacio aéreo ni un solo avión con colombianos encadenados como esclavos. Por eso, descertifican al presidente de Colombia, porque dice esto y Naciones Unidas se vuelve cómplice”, mencionó.
Igualmente, el jefe de Estado llamó a la realización de una asamblea para que se ponga en consideración la creación de un ejército que intervenga en contra los ataques de Israel a la Franja de Gaza.
Lea también: La pelea por la jefatura de Asocapitales se definirá tras siete meses de interinidad.
“Si bloquean en el consejo de seguridad, aprobamos la resolución en la Asamblea General y lo que se vota sería un ejército de salvación de la humanidad. Si me toca decirle a China que ponga los destacamentos, lo hago, no se puede permitir un día más. Lo que están haciendo en Gaza es un experimento como Hitler”, expuso Petro.
Se espera que el jefe de Estado refuerce estas declaraciones en su intervención, con la que no solo busca posicionarse como un líder de opinión internacional, sino también sacudir la campaña electoral en el país.
Igualmente, Petro lanzó varios llamados emprender acciones para preservar el ambiente, insistiendo que el mundo debe transitar del petróleo, el carbón y el gas hacia otros compuestos: “La crisis climática está a punto de pasar de colapso a colapso climático y el colapso climático ya hace que todas estas reuniones sean inocuas, porque lo que viene es la extinción”.
👁‍🗨 Conozca cómo votan los senadores y representantes a la Cámara en ‘Congreso a la mano’.
👉 Lea más sobre el Congreso, el gobierno Petro y otras noticias del mundo político.
✉️ Si tiene interés en los temas políticos o información que considere oportuno compartirnos, por favor, escríbanos a cualquiera de estos correos: hvalero@elespectador.com; aosorio@elespectador.com; dortega@elespectador.com; dcristancho@elespectador.com; mbarrios@elespectador.com ; lbotero@elespectador.com o lperalta@elespectador.com.",23-09-2025,09:45 a. m.,Política,,Así le ha ido a Petro en Nueva York y este sería el foco de su último discurso en la ONU,https://www.elespectador.com/politica/petro-en-nueva-york-estados-unidos-asi-le-ha-ido-y-este-sera-el-foco-de-su-ultimo-discurso-como-presidente-colombia/
"La fiscal Lucy Laborde, que lidera la investigación en contra del hijo del presidente Gustavo Petro, se refirió puntualmente a dos movidas recientes que, en su concepto, afectan su trabajo: la asignación de una fiscal de apoyo y la citación a reuniones sin previo aviso, sobre el nuevo proceso que enfrentará Nicolás Petro, por delitos distintos a los de su proceso actual.",Redacción Judicial,judicial,"Audio generado con IA de Google
0:00
/
0:00
Una dura carta envió Lucy Laborde, la fiscal delegada que adelanta la investigación en contra de Nicolás Petro, hijo del presidente Gustavo Petro, por su presunta responsabilidad en los delitos de lavado de activos y enriquecimiento ilícito. En la misiva de la funcionaria, dirigida a la fiscal general, Luz Adriana Camargo, denunció “intromisiones indebidas” y afectaciones a la imparcialidad e independencia en su trabajo.
En la carta de cuatro páginas, conocida este 22 de septiembre por medios de comunicación, la fiscal de la Dirección Especializada contra el Lavado de activos de la Fiscalía criticó la reciente decisión de asignar a María Isabel Ramírez Meléndez como fiscal de apoyo en la investigación. Esto, luego de que el pasado 8 de septiembre se diera la orden de enviar a la segunda investigadora a apoyar el trabajo de Laborde.
Según la fiscal del caso, la asignación de la fiscal de apoyo se dio porque “la disponibilidad de personal sumado a las altas cargas laborales y situaciones administrativas de varios despachos de la Dirección Especializada contra el Lavado de Activos, la necesidad de hacer efectivos los principios de celeridad, objetividad, oportunidad, eficacia y eficiencia en la administración de justicia, garantizar el debido proceso y los derechos de quienes a cualquier título intervienen en el proceso penal, nos conducen a la implementación de estrategias que permitan cumplir estos objetivos”.
Lea también: Asonadas contra la fuerza pública: el difícil reto de judicializar a la población civil
A renglón seguido, puso sobre la mesa las razones por las que no está de acuerdo con esa decisión. “Esto no guarda relación alguna con las necesidades del despacho (...) por cuanto el proceso que se sigue por lavado de activos y enriquecimiento ilícito de servidor público ante el señor juez segundo penal especializado de Barranquilla, contra el señor Petro Burgos se ha adelantado por la suscrita fiscal de manera íntegra”, se lee en la carta.
Luego, la fiscal Laborde señala que está en plenas capacidades para seguir adelante con la investigación, justo ahora que se supo que habrá una nueva imputación por otros hechos de corrupción y que el hijo del presidente Gustavo Petro está ya a las puertas del juicio penal. “Tengo los conocimientos y la experiencia suficiente, la experticia y las capacidades necesarias para continuar al frente de este proceso. Además, el caso tiene un soporte probatorio muy fuerte para adelantarlo y no requiero apoyo, asesoría ni orientación”, se lee en la carta.
La funcionaria del ente investigador también denunció que el pasado 18 de septiembre fue citada a una reunión por la Dirección Especializada contra el Lavado de Activos y la Dirección contra la Corrupción de la Fiscalía, en la que tuvo que exponer avances del caso sin información previa. “Se me solicitó intempestivamente manifestara los hechos que se investigan en el radicado que es objeto de solicitud de una nueva imputación contra el señor Nicolás Petro Burgos, con la aparente necesidad de conexar esta con un radicado objeto de una compulsa de copias realizada por el Doctor Mario Andrés Burgos Patiño”, dice la carta.
Le puede interesar: Condenan a 36 años de cárcel a los asesinos del fundador de Arepas El Carriel
Se refería a la información conocida a inicios de septiembre, que señala que el hijo del presidente enfrentará una nueva imputación por dos delitos distintos a los de la investigación adelantada en su contra y por la cual fue detenido en 2023: celebración de contratos y falsedad en documento público. Ambos habrían sido cometidos mientras fue diputado del departamento de Atlántico.
Finalmente, la fiscal Laborde dijo que estas movidas responden a presiones en su contra, que afectan los principios de celeridad, objetividad y debido proceso de la investigación que reposa en su despacho. “La introducción de figuras como fiscales de apoyo sin solicitud previa, las reuniones convocadas sin claridad sobre su finalidad y el desconocimiento de mi rol de titular frente a solicitudes procesales de la defensa, afectan el equilibrio institucional y pueden menoscabar la autonomía e imparcialidad exigidas por la Constitución y la jurisprudencia”, concluye la carta.
Para conocer más sobre justicia, seguridad y derechos humanos, visite la sección Judicial de El Espectador.",23-09-2025,22-09-2025,Judicial,,"“No requiero apoyo, asesoría ni orientación”: fiscal de caso Nicolás Petro advierte presiones",https://www.elespectador.com/judicial/no-requiero-apoyo-asesoria-ni-orientacion-fiscal-de-caso-nicolas-petro-advierte-presiones/
"Su nombre ha estado relacionado a los más grandes expedientes de corrupción del país. En diciembre de 2024 fue condenado a seis años y dos meses de prisión, pero una juez de Barranquilla le concedió libertad condicional. Hoy la togada está siendo investigada.",Redacción Judicial,judicial,"Una de las principales cabezas de escándalos de corrupción en el país vuelve a estar bajo la lupa de los entes de control. El nombre de Emilio Tapia Aldana suena otra vez porque esta semana la Comisión de Disciplina Judicial del departamento del Atlántico abrió formalmente una investigación contra una juez en Barranquilla que le concedió libertad condicional el pasado 11 de abril.
La togada dejó en firme esa decisión mientras Tapia, cerebro detrás del conocido caso Centros Poblados, cumplía una condena de seis años y cuatro meses de prisión...",23-09-2025,09:13 a. m.,Judicial,Suscriptores,"¿Quién es Emilio Tapia, vinculado a casos de corrupción en Colombia y dejado en libertad?",https://www.elespectador.com/judicial/quien-es-emilio-tapia-vinculado-a-casos-de-corrupcion-en-colombia-y-dejado-en-libertad/
"Menos de 24 horas después de que se conociera una carta de la fiscal Lucy Laborde, en la que denunció presiones a su investigación en contra del hijo del presidente Gustavo Petro, se confirmó que la fiscal Luz Adriana Camargo ordenó tumbar la designación de una fiscal de apoyo para el trabajo que desde hace un año Laborde adelanta sola en Barranquilla.",Redacción Judicial,judicial,"Audio generado con IA de Google
0:00
/
0:00
En la mañana de este martes 23 de septiembre se confirmó que la fiscal general de la Nación, Luz Adriana Camargo, ordeno retirar la designación de María Isabel Ramírez Meléndez como fiscal de apoyo para la investigación que lidera la fiscal Lucy Laborde en contra de Nicolás Petro, hijo del presidente Gustavo Petro, por su presunta responsabilidad en los delitos de lavado de activos y enriquecimiento ilícito.
Ramírez Meléndez, quien pertenece al nivel central de la Fiscalía General de la Nación, había sido enviada a apoyar el trabajo de la investigadora Laborde después de que hace un par de semanas se conociera que el próximo 1 de octubre habrá una nueva imputación en contra del hijo del presidente Petro, por, al parecer, ser responsable de los delitos de interés indebido en la celebración de contratos y falsedad en documento público.
Las pesquisas de la Fiscalía indican que Petro Burgos habría participado, mientras era diputado, en la gestión de cinco contratos entre la Gobernación de Atlántico y la Fundación Conciencia Social, por más de $3.000 millones. Esos recursos irían a programas de atención social para adultos mayores y personas con discapacidad; sin embargo, según el ente investigador, el dinero se habría desviado y nunca habría cumplido con su propósito.
En contexto: “No requiero apoyo, asesoría ni orientación”: fiscal de caso Nicolás Petro advierte presiones
Luego de eso, la Delegada para las Finanzas Criminales de la Fiscalía firmó la designación de Ramírez Meléndez como fiscal de apoyo, para que brindata “acompañamiento, orientación y asesoría jurídica” a la fiscal Laborde en el caso. La decisión generó sorpresa e incomodidad en la investigadora Laborde, quien expresó su desacuerdo con esa designción y defendió el trabajo que ha hecho desde que tiene el caso en su despacho.
La decisión de la fiscal Camargo de tumbar la designación de Ramírez Meléndez se dio después de que la investigadora Laborde, quien desde hace un año está an Barranquilla (Atlántico) al frente del caso, enviara una dura carta en la que denunció “intromisiones indebidas” y afectaciones a la imparcialidad e independencia en su trabajo. En la misiva, la funcionaria se refirió de manera a dos asuntos: la designación de Ramírez Meléndez como fiscal de apoyo y la citación a reuniones sin previo aviso.
En la carta conocida el pasado 22 de septiembre por medios de comunicación, la fiscal Laborde, de la Dirección Especializada contra el Lavado de activos de la Fiscalía, criticó la decisión del pasado 8 de septiembre, con la que se ordenó enviar a la segunda investigadora a apoyar su trabajo. “Tengo los conocimientos y la experiencia suficiente, la experticia y las capacidades necesarias para continuar al frente de este proceso”, dice la misiva.
Lea también: ¿Quién es Emilio Tapia, vinculado a casos de corrupción en Colombia y dejado en libertad?
La funcionaria defendió que durante el último año ha adelantado la investigación casi sin apoyo. Por eso, no encontró motivo para que Ramírez Meléndez fuera enviada a apoyar el caso: “Esto no guarda relación alguna con las necesidades del despacho (...) por cuanto el proceso que se sigue por lavado de activos y enriquecimiento ilícito de servidor público ante el señor juez segundo penal especializado de Barranquilla, contra el señor Petro Burgos se ha adelantado por la suscrita fiscal de manera íntegra”.
La misiva de la fiscal Laborde concluía pidiendo que se le explicara cuáles eran las verdaderas razones de la designación de Ramírez Meléndez como fiscal de apoyo, sin que ella lo solicitara. También pidió que se le informe sobre las reuniones previas a la nueva imputación que hará la Fiscalía a Nicolás Petro y que “se indique por qué motivo desde que se solicitó la audiencia de imputación, no se corre traslado a este despacho de las peticiones o solicitudes de la defensa, por el contrario, se ocultan y se responden de forma subrepticia”.
También que “se adopten medidas necesarias para garantizar el respeto de mi autonomía e independencia, así como la imparcialidad, principios que, conforme a la jurisprudencia constitucional y legal, prevalecen frente al principio de unidad de gestión cuando este se ejerce de forma arbitraria o desconoce la independencia funcional de los fiscales delegados”, concluye la carta.
Para conocer más sobre justicia, seguridad y derechos humanos, visite la sección Judicial de El Espectador.",23-09-2025,09:29 a. m.,Judicial,,Caso Nicolás Petro: tumban designación de la fiscal de apoyo para la investigación,https://www.elespectador.com/judicial/caso-nicolas-petro-tumban-designacion-de-la-fiscal-de-apoyo-para-la-investigacion/
"Diego Marín Buitrago, más conocido como alias ",Redacción Judicial,judicial,"Audio generado con IA de Google
0:00
/
0:00
Diego Marín Buitrago, alias Papá Pitufo, también conocido por las autoridades como el zar del contrabando, sigue en el centro del ojo público, luego de que la Fiscalía General de la Nación solicitara a Interpol Colombia un informe sobre la vigencia de la circular roja que pesa en su contra, con el fin de alertar a los 196 países que integran la organización y lograr su captura. Desde hace más de un año está prófugo en Portugal.
Mediante un oficio, la fiscal quinta delegada ante los jueces penales del circuito especializado de Bogotá, Nancy Carolina Aponte Blanco, solicitó al jefe de la Oficina Central Nacional (OCN) de Interpol, el coronel Gonzalo Andrés Córdoba Camacho, que se verifiquen las condiciones de la circular roja en contra del conocido zar del narcotráfico.
Lea: La JEP reitera que no habrá una sola sentencia contra de las Farc, como lo pedían
En el documento se lee: “Me permito solicitar su valiosa colaboración para consultar la vigencia de la circular roja comunicada por esta Fiscalía en el marco del proceso de referencia que se adelanta en Colombia contra el señor Diego Marín Buitrago”. Asimismo, la entidad busca verificar y corroborar la actualización de dicha circular, la cual fue comunicada el pasado 4 de febrero de 2025 a través de la Dirección de Investigación Criminal (Dijín).
Pese a que Papá Pitufo tiene un prontuario criminal de más de 32 años delictivos, solo hay un único proceso que avanza en su contra en los juzgados de Paloquemao, en Bogotá. En ese expediente, la Fiscalía logró documentar sus andanzas criminales durante un período de siete meses, entre septiembre de 2023 y marzo de 2024. Entre esas fechas se habría reunido con exfuncionarios de la Policía Fiscal y Aduanera (Polfa), para ofrecerles sobornos y pagos a fin de ayudar con su negocio ilegal.
Le puede interesar: Las claves de las condenas de la JEP contra Farc por miles de secuestros
A alias Papá Pitufo le fueron imputados los delitos de concierto para delinquir y cohecho propio por dar u ofrecer. Sin embargo, su proceso avanza sin su presencia en las audiencias, pues se declaró en contumacia; es decir, se ha negado a comparecer ante el tribunal o a atender los llamados de la justicia, pese a haber sido notificado. Un juez avaló esa declaratoria a inicio de este año.
La Fiscalía acusará formalmente a alias Papá Pitufo el próximo 13 de noviembre, a las 8:30 de la mañana. Mientras llega la fecha de esa diligencia, las autoridades continuarán investigando a los posibles implicados en la red de corrupción, entre ellos el mayor (r) Royce Javier Díaz Munive, señalado por su presunta relación con el denominado zar del contrabando en operaciones ilegales realizadas entre 2022 y 2023 en Cartagena. Uno de los uniformados que, por este caso, entró también recientemente en el radar de las autoridades.
Para conocer más sobre justicia, seguridad y derechos humanos, visite la sección Judicial de El Espectador.",23-09-2025,09:58 a. m.,Judicial,,Fiscalía pide a Interpol verificar vigencia de circular roja contra “Papá Pitufo”,https://www.elespectador.com/judicial/fiscalia-pide-a-interpol-verificar-vigencia-de-circular-roja-contra-papa-pitufo/
