Category,Sub-Category,Suscriptores,Title,Description,Link,Date_raw,Date_parsed,Author
politica,Política,Política,,"Según Benedetti, congresistas de Comunes habrían respaldado a Carlos Camargo en vez de a María Patricia Balanta.",https://www.elespectador.com/politica/gobierno-petro-comunes-y-armando-benedetti-chocan-por-eleccion-carlos-camargo-corte-constitucional-noticias-hoy/,11:41 a. m.,09-09-2025,Redacción Política
politica,Política,Política,,"Desde 2015, se suspendió la fumigación aérea con glifosato en Colombia.",https://www.elespectador.com/politica/gustavo-petro-criticas-y-debate-por-posible-regreso-de-fumigacion-aerea-colombia-cultivos-ilicitos-glifosato-noticias-hoy/,09:14 a. m.,09-09-2025,Redacción Política
politica,Política,Política,,"Según la Cancillería, en agosto pasado había, por lo menos, 38 colombianos detenidos en Venezuela.",https://www.elespectador.com/politica/gustavo-petro-habla-de-colombianos-detenidos-en-venezuela-hay-por-lo-menos-38-noticias-hoy/,06:52 a. m.,09-09-2025,Redacción Política
politica,Política,Política,Suscriptores,"El posible remezón en el gabinete de Petro quedó en pausa por las cuentas para los debates del presupuesto, la tributaria y otras...",https://www.elespectador.com/politica/petro-tiene-que-recalcular-sus-movidas-con-los-partidos-y-cambios-en-el-gabinete-por-agenda-del-congreso-noticias-hoy/,09-09-2025,09-09-2025,David Efrén Ortega 
politica,Política,Política,,"En vilo siguen los ministros Antonio Sanguino (Trabajo), Diana Morales (Comercio) y Julián Molina (TIC).",https://www.elespectador.com/politica/remezon-ministerial-de-petro-esto-es-lo-que-se-sabe-de-cambios-de-sanguino-morales-y-molina-noticias-hoy/,08-09-2025,09-09-2025,Redacción Política
politica,Política,Política,Suscriptores,"Hay molestia en la izquierda, que está en reuniones jurídicas y con las bases para delinear una estrategia.",https://www.elespectador.com/politica/pacto-historico-consejo-nacional-electoral-las-son-las-vias-del-petrismo-para-esquivar-decision-contra-colombia-humana/,08-09-2025,09-09-2025,Laura C. Peralta Giraldo
judicial,Judicial,Judicial,,Denunciaron que unidades de la Armada dispararon sin advertencia contra la lancha en la que viajaba la alcaldesa.,https://www.elespectador.com/judicial/no-somos-delincuentes-alcaldia-de-mosquera-narino-sobre-disparos-de-la-armada/,10:40 a. m.,09-09-2025,Redacción Judicial
judicial,Colombia + 20,Colombia + 20,Suscriptores,"Por la conmemoración del Día Nacional de los DD. HH. y a raíz de la reciente muerte de la lideresa Yanette Bautista, recordamos...",https://www.elespectador.com/colombia-20/dia-de-los-derechos-humanos-memoria-de-nydia-erika-bautista-y-su-hermana-yanette/,10:00 a. m.,09-09-2025,Centro Nacional de Memoria Histórica / Especial para El Espectador
judicial,Investigación,Investigación,Suscriptores,"La Fiscalía General dice que deforestaron más de 100 hectáreas, entre 2017 y 2021.",https://www.elespectador.com/investigacion/el-plan-de-los-menonitas-para-reparar-presuntos-danos-ambientales-en-el-meta-habrian-deforestado-100-hectareas/,09:00 a. m.,09-09-2025,David Escobar Moreno
judicial,Bogotá,Bogotá,Suscriptores,"El Espectador conoció la decisión de la Procuraduría, que sancionó a un teniente de la Policía, por no auxiliar al joven. ",https://www.elespectador.com/bogota/el-silenciado-asesinato-de-cristian-hernandez-a-cinco-anos-del-9s/,09-09-2025,09-09-2025,María Angélica García Puerto
